CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,HasTechSupport,InternetService,Churn
28,19,M,51,97.35,5012.36,Month-to-month,Electronic Check,1,DSL,1
29,77,F,47,116.23,5417.06,Month-to-month,Credit Card,0,DSL,1
30,38,F,36,45.62,1637.14,Month-to-month,Electronic Check,0,Fiber optic,1
31,50,F,64,103.58,6642.72,Month-to-month,Credit Card,0,Fiber optic,1
32,29,M,13,80.77,1000.85,One year,Credit Card,0,Fiber optic,1
33,75,F,18,118.15,2136.38,Month-to-month,Bank Transfer,1,Fiber optic,1
34,39,F,21,114.63,2362.85,One year,Credit Card,0,DSL,1
35,78,M,65,117.3,7660.26,Two year,Electronic Check,1,Fiber optic,0
36,61,F,8,115.18,952.15,Month-to-month,Credit Card,0,Fiber optic,1
37,42,M,48,20.77,950.19,Two year,Electronic Check,0,Fiber optic,0
38,66,F,43,94.11,4001.61,Two year,Electronic Check,0,DSL,1
39,44,M,53,47.19,2526.43,One year,Electronic Check,0,DSL,0
40,76,F,27,90.5,2430.45,Month-to-month,Bank Transfer,0,Fiber optic,1
41,59,F,19,118.06,2250.64,One year,Electronic Check,1,DSL,0
42,45,F,23,23.94,527.65,Two year,Bank Transfer,1,Fiber optic,0
43,77,F,50,76.7,3802.3,One year,Credit Card,0,Fiber optic,0
44,33,F,51,93.5,4748.11,Month-to-month,Credit Card,0,DSL,1
45,32,M,43,45.34,1924.29,One year,Bank Transfer,1,DSL,0
46,79,M,51,42.51,2162.84,Two year,Credit Card,1,None,0
47,79,F,69,26.03,1820.74,Month-to-month,Credit Card,0,DSL,1
48,64,F,41,29.39,1210.4,One year,Credit Card,1,DSL,0
49,79,F,72,85.67,6179.16,Month-to-month,Credit Card,1,DSL,1
50,68,M,11,70.52,772.73,Month-to-month,Electronic Check,0,DSL,1
51,61,M,52,23.01,1178.99,Month-to-month,Credit Card,1,Fiber optic,1
52,72,F,23,116.97,2654.66,Month-to-month,Electronic Check,0,DSL,1
53,69,M,49,85.6,4179.86,One year,Credit Card,0,Fiber optic,1
54,74,F,38,71.55,2735.42,Month-to-month,Bank Transfer,0,Fiber optic,1
55,20,F,47,47.27,2245.07,Month-to-month,Bank Transfer,0,Fiber optic,1
56,54,F,72,85.81,6175.24,Month-to-month,Electronic Check,0,DSL,1
57,68,M,7,56.42,409.44,Month-to-month,Bank Transfer,1,DSL,0
58,24,F,66,90.25,5927.55,One year,Electronic Check,0,Fiber optic,1
59,38,F,62,88.26,5508.13,Month-to-month,Credit Card,0,DSL,1
60,26,F,29,29.27,885.42,Month-to-month,Bank Transfer,0,Fiber optic,1
61,56,M,38,110.93,4197.37,Two year,Electronic Check,1,Fiber optic,1
62,35,M,33,68.7,2271.87,Month-to-month,Electronic Check,1,DSL,0
63,21,M,29,59.29,1730.08,One year,Credit Card,0,None,0
64,42,F,23,115.55,2654.89,Month-to-month,Credit Card,0,DSL,1
65,77,M,3,63.82,232.57,Month-to-month,Bank Transfer,0,DSL,1
66,31,F,45,92.12,4169.37,Month-to-month,Electronic Check,0,Fiber optic,1
67,67,M,8,85.51,701.33,Month-to-month,Credit Card,0,Fiber optic,1
68,75,F,29,36.51,1060.8,Month-to-month,Bank Transfer,0,None,1
69,26,M,2,119.11,196.7,Month-to-month,Electronic Check,1,DSL,1
70,43,F,50,66.36,3278.78,One year,Credit Card,1,DSL,0
71,70,M,65,59.48,3846.1,Month-to-month,Bank Transfer,0,DSL,1
72,19,M,20,111.96,2210.35,Month-to-month,Bank Transfer,0,DSL,1
73,37,M,52,72.92,3837.09,One year,Credit Card,1,Fiber optic,0
74,45,F,37,90.51,3339.85,Month-to-month,Credit Card,0,Fiber optic,1
75,64,M,72,104.62,7570.3,Two year,Electronic Check,0,Fiber optic,1
76,77,M,27,43.55,1207.66,Two year,Electronic Check,0,DSL,0
77,24,M,47,36.95,1767.91,Month-to-month,Credit Card,0,Fiber optic,1
78,61,M,6,26.85,132.67,Two year,Bank Transfer,1,DSL,0
79,78,F,60,109.71,6577.33,Two year,Credit Card,0,Fiber optic,1
80,25,M,45,40.04,1783.6,Two year,Electronic Check,0,Fiber optic,0
81,64,F,44,50.78,2281.36,One year,Electronic Check,1,Fiber optic,0
82,52,F,18,48.58,912.11,Two year,Credit Card,1,DSL,0
83,31,F,65,50.46,3254.89,One year,Electronic Check,0,Fiber optic,0
84,34,F,25,86.81,2151.6,Two year,Bank Transfer,0,Fiber optic,1
85,53,M,27,115.41,3118.96,One year,Electronic Check,0,Fiber optic,1
86,67,F,7,52.95,348.51,Two year,Bank Transfer,1,Fiber optic,0
87,57,F,44,60.76,2705.89,Month-to-month,Electronic Check,0,None,1
88,21,F,29,97.11,2848.11,One year,Bank Transfer,1,Fiber optic,1
89,19,F,44,63.23,2804.55,Two year,Credit Card,1,DSL,0
90,79,M,36,112.6,4072.53,Month-to-month,Bank Transfer,0,Fiber optic,1
91,23,M,19,70.32,1340.81,Month-to-month,Credit Card,1,Fiber optic,1
92,71,F,6,54.77,313.33,Month-to-month,Electronic Check,0,DSL,1
93,59,F,25,117.16,2962.69,Two year,Bank Transfer,1,Fiber optic,0
94,21,F,31,62.58,1975.86,Two year,Bank Transfer,0,None,0
95,71,M,9,43.12,343.03,Month-to-month,Electronic Check,0,DSL,1
96,46,M,37,37.77,1387.35,Two year,Electronic Check,1,Fiber optic,0
97,35,M,27,119.52,3179.7,Month-to-month,Bank Transfer,1,None,1
98,43,M,13,95.3,1272.85,Month-to-month,Credit Card,0,DSL,1
99,61,M,41,60.87,2463.38,One year,Electronic Check,1,DSL,0
100,51,F,66,102.64,6791.63,Month-to-month,Bank Transfer,1,Fiber optic,1
101,27,M,24,74.68,1778.06,Month-to-month,Electronic Check,1,Fiber optic,1
102,79,M,44,51.74,2308.17,One year,Electronic Check,0,None,0
103,53,F,60,94.34,5661.37,Month-to-month,Credit Card,1,Fiber optic,1
104,31,M,9,94.59,833.75,One year,Credit Card,0,DSL,1
105,48,M,2,70.02,122.43,Month-to-month,Credit Card,0,DSL,1
106,65,M,56,24.52,1355.81,Two year,Bank Transfer,0,Fiber optic,0
107,32,F,30,27.7,859.86,One year,Electronic Check,1,DSL,0
108,25,M,22,98.87,2196.25,One year,Credit Card,0,DSL,1
109,31,F,13,102.35,1312.47,Month-to-month,Bank Transfer,0,DSL,1
110,40,F,71,87.83,6234.95,Two year,Credit Card,0,DSL,1
111,77,M,16,103.91,1620.18,Month-to-month,Credit Card,0,DSL,1
112,74,M,45,91.95,4170.5,Month-to-month,Electronic Check,0,None,1
113,79,M,65,109.69,7106.45,Month-to-month,Bank Transfer,0,Fiber optic,1
114,57,M,11,35.04,424.36,Two year,Electronic Check,1,Fiber optic,0
115,38,F,70,58.77,4123.58,Two year,Credit Card,0,DSL,0
116,33,M,20,66.41,1334.98,Two year,Electronic Check,1,Fiber optic,0
117,62,F,63,49.77,3101.78,One year,Bank Transfer,0,DSL,0
118,35,F,12,92.54,1067.43,Month-to-month,Credit Card,1,None,1
119,64,F,62,111.24,6902.14,Two year,Credit Card,1,Fiber optic,0
120,70,F,42,61.25,2569.3,Month-to-month,Credit Card,1,None,0
121,41,F,69,114.15,7838.32,Month-to-month,Credit Card,0,Fiber optic,1
122,43,M,58,71.68,4191.0,Month-to-month,Bank Transfer,1,Fiber optic,1
123,42,F,5,72.25,352.97,Month-to-month,Electronic Check,0,Fiber optic,1
124,77,F,27,80.02,2136.59,One year,Bank Transfer,0,Fiber optic,1
125,77,M,28,46.83,1340.07,Month-to-month,Credit Card,0,Fiber optic,1
126,77,M,26,58.34,1558.15,Month-to-month,Bank Transfer,0,Fiber optic,1
127,62,F,49,75.32,3671.28,One year,Credit Card,0,DSL,0
128,58,F,21,114.2,2425.79,Month-to-month,Credit Card,1,Fiber optic,1
129,46,M,1,84.27,99.52,Month-to-month,Electronic Check,1,Fiber optic,1
130,32,F,58,53.31,3140.95,Two year,Credit Card,0,DSL,0
131,62,M,55,21.05,1128.15,Month-to-month,Bank Transfer,0,Fiber optic,1
132,18,M,26,118.17,3118.49,One year,Bank Transfer,0,Fiber optic,1
133,42,F,25,69.3,1714.03,Month-to-month,Electronic Check,1,DSL,0
134,24,M,33,113.85,3748.25,Month-to-month,Electronic Check,1,Fiber optic,1
135,26,F,72,74.93,5380.84,One year,Credit Card,0,DSL,0
136,41,F,69,80.55,5534.8,Month-to-month,Credit Card,1,DSL,1
137,18,F,6,91.19,566.46,Month-to-month,Credit Card,0,Fiber optic,1
138,61,M,23,52.1,1207.21,Month-to-month,Credit Card,0,Fiber optic,1
139,25,F,30,89.9,2677.57,Month-to-month,Bank Transfer,0,Fiber optic,1
140,41,M,54,72.68,3887.94,Month-to-month,Credit Card,0,Fiber optic,1
141,28,F,11,87.25,941.49,Month-to-month,Electronic Check,0,None,1
142,68,F,31,103.58,3199.1,Month-to-month,Bank Transfer,0,DSL,1
143,34,M,6,38.42,218.59,Two year,Bank Transfer,0,Fiber optic,0
144,25,F,11,81.36,880.69,Month-to-month,Credit Card,0,Fiber optic,1
145,52,F,12,25.21,257.39,Month-to-month,Credit Card,0,DSL,1
146,52,M,66,30.21,1990.26,One year,Bank Transfer,0,DSL,0
147,50,M,53,87.46,4669.0,Two year,Electronic Check,1,DSL,0
148,76,M,36,27.09,943.28,Month-to-month,Credit Card,0,DSL,1
149,22,F,17,79.54,1316.75,Month-to-month,Bank Transfer,0,DSL,1
150,59,M,28,42.0,1173.19,Month-to-month,Bank Transfer,0,Fiber optic,1
151,56,M,22,50.41,1096.08,Month-to-month,Credit Card,0,Fiber optic,1
152,75,F,7,32.96,236.85,Month-to-month,Electronic Check,0,DSL,1
153,58,M,15,44.87,717.76,Month-to-month,Bank Transfer,0,DSL,1
154,45,F,11,102.13,1149.52,Month-to-month,Bank Transfer,0,Fiber optic,1
155,24,F,24,83.89,2032.07,Month-to-month,Bank Transfer,1,None,1
156,26,M,67,114.98,7695.25,Month-to-month,Credit Card,1,DSL,1
157,25,F,30,24.87,724.84,One year,Bank Transfer,1,Fiber optic,0
158,29,M,70,99.24,6950.83,Month-to-month,Bank Transfer,1,DSL,1
159,51,M,66,89.91,5972.6,Month-to-month,Credit Card,0,Fiber optic,1
160,50,M,61,46.09,2849.16,Month-to-month,Electronic Check,1,DSL,0
161,65,M,41,92.92,3804.27,Month-to-month,Bank Transfer,0,DSL,1
162,72,F,51,91.65,4648.77,One year,Credit Card,1,Fiber optic,0
163,40,F,44,65.93,2873.45,Two year,Electronic Check,1,Fiber optic,0
164,79,M,13,88.86,1108.58,Month-to-month,Credit Card,1,Fiber optic,1
165,41,M,12,64.46,807.79,Month-to-month,Electronic Check,1,None,0
166,54,F,9,53.55,458.43,One year,Credit Card,0,Fiber optic,0
167,52,M,48,66.65,3185.1,Month-to-month,Electronic Check,0,Fiber optic,1
168,61,F,49,109.51,5396.91,Two year,Electronic Check,0,Fiber optic,1
169,57,M,53,58.46,3060.38,Month-to-month,Credit Card,0,DSL,1
170,39,F,56,60.37,3376.84,One year,Bank Transfer,1,Fiber optic,0
171,44,F,40,80.84,3195.83,Month-to-month,Electronic Check,1,None,1
172,52,F,24,95.3,2281.38,Month-to-month,Credit Card,0,None,1
173,18,M,72,93.46,6683.83,Month-to-month,Bank Transfer,0,Fiber optic,1
174,52,M,33,21.98,727.1,One year,Bank Transfer,0,Fiber optic,0
175,54,M,23,88.74,2070.59,One year,Credit Card,0,Fiber optic,1
176,64,M,54,65.06,3530.87,Two year,Credit Card,0,Fiber optic,0
177,31,M,53,72.41,3838.65,Month-to-month,Electronic Check,0,Fiber optic,1
178,20,F,49,76.17,3765.21,One year,Credit Card,0,DSL,0
179,18,F,49,93.17,4538.11,Month-to-month,Bank Transfer,1,Fiber optic,1
180,22,F,60,103.13,6220.88,Month-to-month,Credit Card,1,Fiber optic,1
181,43,F,65,84.63,5478.59,Month-to-month,Bank Transfer,0,Fiber optic,1
182,72,F,32,76.39,2430.73,Month-to-month,Bank Transfer,0,DSL,1
183,31,F,21,57.38,1167.82,One year,Credit Card,1,DSL,0
184,56,F,18,33.79,568.4,Two year,Bank Transfer,0,None,0
185,44,M,60,115.86,6994.81,Month-to-month,Bank Transfer,1,None,1
186,26,F,13,66.18,829.34,Month-to-month,Electronic Check,0,Fiber optic,1
187,32,M,24,76.62,1822.21,One year,Bank Transfer,1,Fiber optic,0
188,32,F,30,95.11,2856.22,Two year,Electronic Check,0,Fiber optic,1
189,43,F,2,26.84,38.47,Month-to-month,Electronic Check,0,DSL,1
190,59,M,25,105.5,2674.51,Two year,Electronic Check,0,DSL,1
191,77,F,50,99.7,5025.07,Two year,Electronic Check,1,Fiber optic,1
192,30,M,14,97.44,1346.76,Month-to-month,Bank Transfer,0,Fiber optic,1
193,68,F,6,22.2,92.4,One year,Bank Transfer,0,Fiber optic,0
194,49,M,30,72.65,2150.52,Month-to-month,Credit Card,1,Fiber optic,1
195,56,F,30,25.43,760.34,One year,Electronic Check,0,DSL,0
196,66,M,38,75.09,2832.27,Month-to-month,Bank Transfer,1,Fiber optic,1
197,69,M,58,91.84,5322.07,Month-to-month,Electronic Check,1,Fiber optic,1
198,78,F,41,32.19,1345.66,Month-to-month,Electronic Check,0,DSL,1
199,49,F,57,89.49,5092.99,One year,Credit Card,0,Fiber optic,1
200,21,M,36,64.95,2307.9,Two year,Electronic Check,0,Fiber optic,0
201,47,F,64,101.16,6460.04,Month-to-month,Bank Transfer,1,Fiber optic,1
202,54,M,16,73.36,1198.06,Month-to-month,Bank Transfer,0,Fiber optic,1
203,40,F,72,53.61,3852.33,Two year,Bank Transfer,0,Fiber optic,0
204,56,M,14,53.2,719.75,Month-to-month,Bank Transfer,0,DSL,1
205,62,F,31,109.75,3394.99,Two year,Electronic Check,1,DSL,0
206,32,M,66,65.29,4304.62,One year,Bank Transfer,0,Fiber optic,0
207,60,F,68,60.58,4099.08,One year,Credit Card,0,Fiber optic,0
208,46,M,65,23.99,1608.92,Month-to-month,Electronic Check,1,None,0
209,53,M,55,56.43,3130.41,Month-to-month,Bank Transfer,1,None,0
210,30,F,40,104.96,4217.65,Month-to-month,Bank Transfer,0,Fiber optic,1
211,49,F,25,96.1,2437.99,Month-to-month,Credit Card,0,DSL,1
212,24,M,25,42.09,1068.89,Month-to-month,Electronic Check,0,DSL,1
213,76,M,3,61.31,213.03,Month-to-month,Credit Card,1,DSL,0
214,68,M,69,39.66,2727.79,One year,Credit Card,1,DSL,0
215,39,M,26,115.42,3000.96,Two year,Bank Transfer,0,None,1
216,45,F,40,79.81,3147.1,Month-to-month,Bank Transfer,0,Fiber optic,1
217,19,M,38,95.44,3604.78,One year,Credit Card,0,Fiber optic,1
218,59,M,38,91.38,3459.24,Two year,Electronic Check,1,None,0
219,62,M,68,107.37,7313.71,Month-to-month,Electronic Check,1,Fiber optic,1
220,79,F,7,114.93,800.93,One year,Electronic Check,0,Fiber optic,1
221,74,M,30,23.24,707.98,Month-to-month,Credit Card,0,Fiber optic,1
222,70,F,19,117.53,2254.4,Month-to-month,Electronic Check,0,Fiber optic,1
223,23,F,35,107.05,3701.02,Two year,Bank Transfer,0,DSL,1
224,45,F,33,58.29,1899.4,Two year,Credit Card,0,DSL,0
225,45,F,33,103.71,3389.52,Month-to-month,Credit Card,1,Fiber optic,1
226,61,F,38,93.66,3527.83,Month-to-month,Credit Card,0,Fiber optic,1
227,61,F,10,99.31,993.41,Two year,Electronic Check,0,Fiber optic,1
228,37,F,57,42.07,2421.99,Two year,Electronic Check,1,Fiber optic,0
229,47,M,28,84.86,2353.36,One year,Bank Transfer,0,Fiber optic,1
230,79,M,38,22.59,890.86,Month-to-month,Electronic Check,0,None,1
231,28,F,16,104.82,1716.37,One year,Electronic Check,1,Fiber optic,1
232,75,M,21,115.1,2402.15,Month-to-month,Electronic Check,0,DSL,1
233,72,M,6,86.21,535.4,Two year,Electronic Check,1,Fiber optic,1
234,45,F,41,71.27,2883.77,Month-to-month,Bank Transfer,0,Fiber optic,1
235,42,M,15,92.57,1412.95,One year,Bank Transfer,0,Fiber optic,1
236,56,F,3,52.64,124.42,Month-to-month,Bank Transfer,0,Fiber optic,1
237,79,M,43,82.64,3572.26,Month-to-month,Electronic Check,0,Fiber optic,1
238,50,F,47,91.9,4311.49,One year,Electronic Check,1,DSL,0
239,18,F,14,34.27,522.63,Month-to-month,Credit Card,0,Fiber optic,1
240,74,M,66,34.01,2241.11,One year,Credit Card,0,Fiber optic,0
241,44,M,29,91.61,2609.78,One year,Electronic Check,0,DSL,1
242,79,F,4,63.18,250.79,Month-to-month,Credit Card,1,Fiber optic,1
243,74,F,26,108.92,2861.47,One year,Bank Transfer,1,DSL,0
244,69,F,12,51.19,628.99,One year,Bank Transfer,0,DSL,0
245,30,M,2,24.24,95.11,Month-to-month,Bank Transfer,0,DSL,1
246,58,M,17,84.99,1479.16,Month-to-month,Credit Card,0,Fiber optic,1
247,20,M,35,88.42,3097.36,Month-to-month,Bank Transfer,0,None,1
248,56,M,10,75.36,724.25,Month-to-month,Bank Transfer,0,Fiber optic,1
249,23,F,43,88.33,3748.57,Month-to-month,Bank Transfer,1,Fiber optic,1
250,25,F,21,72.38,1568.03,Two year,Electronic Check,0,Fiber optic,0
251,44,F,15,89.26,1382.73,One year,Electronic Check,0,Fiber optic,1
252,26,F,35,24.39,831.06,Month-to-month,Bank Transfer,0,Fiber optic,1
253,79,M,60,56.84,3424.22,One year,Bank Transfer,0,Fiber optic,0
254,54,F,44,41.08,1830.44,One year,Electronic Check,0,DSL,0
255,50,F,5,29.93,157.45,Month-to-month,Electronic Check,0,None,1
256,68,M,18,43.41,815.68,Month-to-month,Credit Card,0,Fiber optic,1
257,59,M,21,39.13,779.51,One year,Electronic Check,0,Fiber optic,0
258,61,F,72,117.31,8485.97,Month-to-month,Bank Transfer,0,Fiber optic,1
259,41,M,51,48.65,2470.35,One year,Electronic Check,1,Fiber optic,0
260,32,F,41,43.1,1765.17,Month-to-month,Bank Transfer,1,DSL,0
261,76,M,24,103.49,2478.23,One year,Credit Card,0,DSL,1
262,71,M,24,61.91,1488.97,One year,Electronic Check,0,DSL,0
263,49,F,38,62.15,2371.52,Month-to-month,Credit Card,0,DSL,1
264,49,M,44,64.36,2852.87,Month-to-month,Bank Transfer,0,DSL,1
265,41,F,57,61.65,3516.54,One year,Bank Transfer,1,Fiber optic,0
266,58,M,59,52.66,3125.42,One year,Bank Transfer,1,DSL,0
267,69,M,34,48.63,1637.25,One year,Bank Transfer,0,DSL,0
268,66,M,23,108.2,2532.27,Two year,Credit Card,0,Fiber optic,1
269,79,M,43,36.17,1511.76,Month-to-month,Electronic Check,0,Fiber optic,1
270,66,M,40,38.11,1528.95,Month-to-month,Electronic Check,0,Fiber optic,1
271,75,F,47,77.17,3585.73,One year,Bank Transfer,0,DSL,0
272,69,M,41,54.37,2223.45,Month-to-month,Bank Transfer,0,Fiber optic,1
273,29,F,47,62.15,2896.81,Month-to-month,Credit Card,1,Fiber optic,1
274,79,M,20,100.65,2056.69,One year,Credit Card,0,Fiber optic,1
275,56,F,65,110.36,7124.71,Two year,Bank Transfer,0,DSL,1
276,19,M,68,99.06,6725.2,Month-to-month,Bank Transfer,0,Fiber optic,1
277,20,F,24,43.49,1071.96,Month-to-month,Electronic Check,0,Fiber optic,1
278,66,F,36,118.0,4216.85,One year,Electronic Check,0,Fiber optic,1
279,54,M,45,56.32,2565.96,Month-to-month,Electronic Check,1,Fiber optic,1
280,66,M,2,36.91,109.79,Month-to-month,Bank Transfer,1,None,0
281,73,M,28,69.95,1979.4,One year,Credit Card,1,Fiber optic,0
282,34,F,26,92.53,2376.69,Month-to-month,Credit Card,0,DSL,1
283,76,F,23,28.33,628.79,Month-to-month,Credit Card,0,Fiber optic,1
284,66,M,36,83.43,2970.17,Month-to-month,Bank Transfer,1,DSL,1
285,19,M,6,105.81,603.27,Month-to-month,Bank Transfer,1,Fiber optic,1
286,19,F,35,46.18,1569.95,One year,Credit Card,0,DSL,0
287,45,F,38,89.31,3429.51,Month-to-month,Credit Card,0,DSL,1
288,71,M,35,59.99,2102.5,Month-to-month,Credit Card,0,None,1
289,40,F,53,61.41,3237.51,Month-to-month,Bank Transfer,1,Fiber optic,1
290,54,M,38,48.08,1806.0,Two year,Electronic Check,1,None,0
291,49,M,59,82.44,4868.43,Two year,Electronic Check,0,DSL,1
292,50,M,43,56.1,2394.97,Two year,Bank Transfer,1,DSL,0
293,18,F,4,103.09,448.73,Month-to-month,Electronic Check,1,DSL,1
294,36,F,5,116.29,552.55,Month-to-month,Credit Card,0,Fiber optic,1
295,79,F,68,113.51,7756.91,One year,Electronic Check,0,Fiber optic,1
296,19,F,45,36.31,1650.36,Month-to-month,Credit Card,1,Fiber optic,1
297,70,M,25,21.42,581.16,One year,Bank Transfer,0,DSL,0
298,61,F,11,63.85,653.86,Month-to-month,Bank Transfer,1,Fiber optic,1
299,43,M,29,92.89,2649.72,Month-to-month,Credit Card,0,Fiber optic,1
300,49,M,34,117.75,4003.59,Month-to-month,Credit Card,0,Fiber optic,1
301,23,M,14,98.34,1418.0,Month-to-month,Electronic Check,0,Fiber optic,1
302,49,F,24,78.05,1896.28,One year,Credit Card,0,Fiber optic,0
303,72,M,59,22.64,1347.97,One year,Bank Transfer,1,None,0
304,21,M,39,102.55,3952.61,Month-to-month,Bank Transfer,0,Fiber optic,1
305,72,F,26,37.71,965.88,Two year,Electronic Check,0,Fiber optic,0
306,28,M,43,25.56,1083.67,Month-to-month,Credit Card,0,Fiber optic,1
307,73,F,36,105.04,3785.65,Two year,Credit Card,0,Fiber optic,1
308,76,F,39,76.63,2964.35,Month-to-month,Electronic Check,1,Fiber optic,1
309,34,F,61,32.86,1981.18,One year,Bank Transfer,1,Fiber optic,0
310,55,M,16,58.65,950.49,Two year,Credit Card,1,Fiber optic,0
311,41,F,59,28.55,1728.91,One year,Electronic Check,0,Fiber optic,0
312,22,F,6,83.8,518.82,Month-to-month,Electronic Check,0,Fiber optic,1
313,69,F,56,48.24,2718.25,Month-to-month,Electronic Check,1,Fiber optic,1
314,51,F,8,106.61,901.5,Month-to-month,Electronic Check,1,Fiber optic,1
315,23,M,27,55.78,1471.41,Month-to-month,Credit Card,0,Fiber optic,1
316,39,F,71,69.46,4885.04,One year,Electronic Check,0,DSL,0
317,28,M,27,26.35,736.0,One year,Credit Card,0,Fiber optic,0
318,65,F,46,47.56,2181.64,Month-to-month,Bank Transfer,1,DSL,0
319,33,M,41,87.68,3587.76,Month-to-month,Electronic Check,0,DSL,1
320,50,F,25,93.63,2313.28,One year,Electronic Check,0,Fiber optic,1
321,26,M,18,44.28,797.73,Month-to-month,Bank Transfer,0,DSL,1
322,77,F,12,70.38,838.78,One year,Electronic Check,0,DSL,0
323,76,M,51,101.75,5173.8,Month-to-month,Credit Card,0,Fiber optic,1
324,23,M,39,57.99,2255.88,Month-to-month,Bank Transfer,0,Fiber optic,1
325,33,M,10,33.38,322.18,Two year,Bank Transfer,0,None,0
326,46,F,54,63.19,3456.25,Month-to-month,Credit Card,0,None,1
327,20,M,29,80.06,2369.77,One year,Credit Card,0,Fiber optic,1
328,37,M,41,20.74,884.33,Month-to-month,Bank Transfer,0,Fiber optic,1
329,77,M,9,54.86,542.78,Month-to-month,Electronic Check,0,DSL,1
330,76,M,63,80.74,5063.19,Two year,Credit Card,1,Fiber optic,0
331,53,F,37,115.19,4296.32,One year,Credit Card,1,Fiber optic,1
332,36,M,14,60.85,842.56,Two year,Credit Card,0,DSL,0
333,43,M,72,36.3,2638.21,Two year,Bank Transfer,0,Fiber optic,0
334,20,M,39,73.42,2833.52,Month-to-month,Electronic Check,0,DSL,1
335,36,F,40,48.58,1974.4,Two year,Credit Card,1,Fiber optic,0
336,37,M,54,41.48,2198.27,Month-to-month,Bank Transfer,0,None,1
337,49,M,3,79.04,214.18,Month-to-month,Bank Transfer,0,DSL,1
338,24,M,55,111.59,6169.65,One year,Electronic Check,0,Fiber optic,1
339,69,M,33,103.52,3440.88,Month-to-month,Bank Transfer,0,DSL,1
340,58,F,71,38.23,2714.45,Two year,Bank Transfer,0,Fiber optic,0
341,50,M,19,96.59,1852.49,Month-to-month,Credit Card,0,Fiber optic,1
342,57,M,34,42.99,1430.22,Month-to-month,Credit Card,0,DSL,1
343,56,F,50,49.07,2470.28,Month-to-month,Credit Card,1,Fiber optic,1
344,35,F,47,112.01,5215.27,Month-to-month,Bank Transfer,0,None,1
345,57,F,46,111.11,5144.38,Month-to-month,Electronic Check,0,DSL,1
346,18,M,56,36.86,2065.79,Month-to-month,Electronic Check,0,Fiber optic,1
347,28,F,57,26.42,1550.33,One year,Electronic Check,0,Fiber optic,0
348,45,M,51,49.31,2512.63,Two year,Bank Transfer,1,Fiber optic,0
349,74,F,54,78.18,4215.03,Month-to-month,Credit Card,0,Fiber optic,1
350,42,M,28,107.69,3010.33,Month-to-month,Bank Transfer,0,DSL,1
351,67,F,19,31.88,591.69,Month-to-month,Credit Card,0,None,1
352,40,M,27,61.5,1627.17,Month-to-month,Bank Transfer,0,Fiber optic,1
353,48,F,48,47.17,2298.37,Month-to-month,Bank Transfer,0,None,1
354,47,M,19,21.49,397.22,Month-to-month,Electronic Check,0,None,1
355,59,M,51,98.84,5043.75,One year,Bank Transfer,0,Fiber optic,1
356,52,M,7,101.33,661.3,Month-to-month,Electronic Check,1,Fiber optic,1
357,24,M,29,42.12,1177.51,Month-to-month,Bank Transfer,1,Fiber optic,1
